Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
İyilik,Hatice Şendilİsmail DemirciSera Kutlubey,27,6,Televizyon dizisi,130,FOX,Özge Korkmaz,2,113,Medyapım,Merve GirginDirenç Aksoy,29 Nisan 2022 - 20 Ocak 2023,Murat Öztürk,Türkiye
Kaçış,Engin Akyürekİrem Helvacıoğlu,8,12,İnternet dizisi,45,Netflix,Ali Doğançay,1,37,O3 MedyaSame Film,Saner AyarÖmer Durak,14 Haziran 2022 - 3 Ağustos 2022,Yağız Alp Akaydın,Türkiye
Kara Tahta,Furkan AndıçMiray Daner,20,6,Televizyon dizisi,135,TRT 1,Erkan Birgören (1-17)Tuna Görgün (13-20)Betül Yağsağan (18-20),1,81,ÜS Yapım,Süreyya Yaşar Önal,30 Mart 2022 - 31 Ağustos 2022,Ender Mıhlar,Türkiye
Kasaba Doktoru,Ozan AkbabaDeniz Can AktaşHazal Subaşı,32,6,Televizyon dizisi,135,TRT 1,İlker Arslan (1-9)Barış Erdoğan (1-9)Rahşan Çiğdem İnan (10-13)Çağla Kızılelma (14-32)Sertaç Sayın (27-32),2,228,ARC Film,Fatih Enes Ömeroğlu,8 Nisan 2022 - 18 Ocak 2023,Arda Sarıgün (1-21)Bahadır İnce (22-32),Türkiye
Kızılcık Şerbeti,Barış KılıçEvrim AlasyaSıla TürkoğluMüjde UzmanSibel TaşçıoğluSettar TanrıöğenDoğukan Güngör,45,3,Televizyon dizisi,130,Show TV,Melis CivelekZeynep Gür,2,81,Gold Film,Faruk Turgut,28 Ekim 2022 - günümüz,Hakan Kırvavaç,Türkiye
Kıyma,İrfan BallıSalih İnciCengizhan YurdutekÖmer VarolMustafa YılmazEmrullah Sürmeli,21,6,İnternet dizisi,35,Netflix,??_?//01?,3,49,Ay Yapım,Kerem Çatay,24 Mayıs 20223 Ağustos 2023,Kadri Beran Taşkın,Türkiye
Kuş Uçuşu,Birce AkalayMiray Danerİbrahim Çelikkol,16,5,İnternet dizisi,50,Netflix,Meriç Acemi,2,81,Ay Yapım,Kerem Çatay,3 Haziran 2022 - günümüz,Deniz Yorulmazer (1-8)Koray Kerimoğlu (9-16)Burak Müjdeci (17-),Türkiye
Mezarlık,Birce AkalayOlgun TokerŞehsuvar Aktaş,4,5,İnternet film serisi,100,Netflix,Onur BöberÖzden UçarEvren Oğuz,1,246,ANS ProductionsEvrensel Film,Abdullah OğuzEvren Oğuz,17 Haziran 2022,Abdullah Oğuz,Türkiye
Mükemmel Eşleşme,Ahmet KayakesenGizem Sevim,13,6,Televizyon dizisi,120,TRT 1,Birol Güven,1,23,MinT Motion Pictures,Birol Güven,16 Temmuz 2022 - 12 Ekim 2022,Emre Kavuk,Türkiye
Oğlum,Songül ÖdenCanan ErgüderFeyyaz DumanTimur AcarSerhat TeomanNihal YalçınKubilay AkaTuğçe Açıkgöz,15,6,Televizyon dizisi,120,Show TV,Hürer EbeoğluSevgi Yılmaz,1,253,Ay Yapım,Kerem Çatay,9 Şubat 2022 - 25 Mayıs 2022,Gökçen Usta,Türkiye
O Kız,Erkan PetekkayaSezin AkbaşoğullarıRojda DemirerDilin DöğerAli ÖnerCengiz Orhonlu,24,6,Televizyon dizisi,140,Kanal D,Sırma Yanık (1-24)Ali Ercivan (18-22),1,81,Content House,Nilgün Sağyaşar,21 Eylül 2022 - 15 Mart 2023,Özlem Günhan (1-4)Deniz Yılmaz Şayir (5-24),Türkiye
Senden Daha Güzel,Cemre BayselBurak Çelik,14,6,Televizyon dizisi,120,FOX,Ayşe Üner Kutlu,1,265,Gold Film,Faruk Turgut,7 Haziran 2022 - 17 Eylül 2022,Deniz Koloş (1)Hakan Kırvavaç (2-11)Ersoy Güler (12-14),Türkiye
Seni Kalbime Sakladım,Sevda ErginciEkin Mert DaymazGökçe Akyıldız,7,6,Televizyon dizisi,120,TRT 1,Burcu YılmazPınar Kaya,1,259,Sev Yapım,Alper AydınAyhan Bölükbaşı,30 Haziran 2022 - 11 Ağustos 2022,Şenol Sönmez,Türkiye
Seversin,İlayda AlişanBurak Yörük,20,6,Televizyon dizisi,120,Kanal D,Barış Erdoğanİlker Arslan,1,259,D Productions,Gökhan Yıldız,1 Haziran 2022 - 10 Ekim 2022,Serdar Gözelekli(1-15)Deniz Çelebi Dikilitaş (16-20),Türkiye
Sevmek Zamanı,İlhan ŞenDeniz Işın,5,6,Televizyon dizisi,120,atv,Nalan Merter Savaş,1,267,Süreç Film,Ali Gündoğduİsmail Gündoğdu,20 Haziran 2022 - 18 Temmuz 2022,Yıldız Hülya Bilban,Türkiye
Sıcak Kafa,Osman SonantHazal SubaşıŞevket Çoruh,8,12,İnternet dizisi,62,Netflix,Mert BaykalZafer KülünkGökhan ŞekerMüjgan Ferhan Şensoy,1,80,Tims&B Productions,Timur SavcıMert Baykal,2 Aralık 2022,Mert BaykalUmur Turagay,Türkiye
Sıfırıncı Gün,Engin ÖztürkBerk CankatYiğit ÖzşenerAybüke PusatDamla ColbaySarp Akkaya,6,6,Televizyon dizisi,115,TV8,Atasay Koç,1,240,Acun Medya,İrem KananBilgin Arslan,28 Aralık 2022 - 24 Şubat 2023,Süleyman Mert Özdemir(1-4)Çağatay Tosun(5-6),Türkiye
Sipahi,Kaan YıldırımÖzge GürelKerem Alışık,8,6,Televizyon dizisi,140,Show TV,Ali Doğançay,1,56,CNP Film,Mehmet CanpolatSadi Canpolat,12 Aralık 2022 - 30 Ocak 2023,Hakan İnan(1-6)Doğan Ümit Karaca(7-8),Türkiye
Son Nefesime Kadar,Nurgül YeşilçayEmre KınayErtan Saban,5,6,Televizyon dizisi,140,FOX,Hatice Meryem,1,137,Pastel Film,Efe İrvülYaşar İrvül,23 Şubat 2022 - 23 Mart 2022,Deniz Çelebi Dikilitaş,Türkiye
Toprak ile Fidan,Hazal AdıyamanOsman Aydın,100,6,Televizyon dizisi,50,Star TV,Ahmet KöşeoğluGökçen Eroğluİnan GüngörenCan ÖzdemirBanu ÖzyürekNur Kıymaç,1,81,OGM PicturesStellar Yapım,İnci Gülen Oarr,31 Ekim 2022 - 21 Nisan 2023,Eray KoçakAtilla Cengiz,Türkiye
Tozluyaka,Dolunay SoysertEmre KınayTayanç AyaydınBegüm BirgörenKaan Mirac Sezen,26,6,Televizyon dizisi,110,FOX,Yekta Torun,1,122,NTC Medya,Fatih AksoyMehmet Yiğit Alp,27 Haziran 2022 - 25 Aralık 2022,Semih Bağcı,Türkiye
Tuzak,Akın AkınözüBensu SoralTalat Bulut,26,6,Televizyon dizisi,145,TV8,Eylem CanpolatAyşenur SıkıAli Yörükoğlu,1,81,Fabrika YapımAcun Medya,Öner ArslanelEsat Yontunç,19 Ekim 2022 - 28 Nisan 2023,Aytaç Çiçek,Türkiye
Uysallar,Öner ErkanHaluk BilginerUğur YücelSongül Öden,8,12,İnternet dizisi,30,Netflix,Hakan Günday,1,130,Ay Yapım,Kerem Çatay,30 Mart 2022,Onur Saylak,Türkiye
Üç Kız Kardeş,Reha ÖzcanÖzgü KayaAlmila AdaMelisa BerberoğluBerker GüvenGökberk DemirciEski başrolİclal Aydın,68,1,Televizyon dizisi,135,Kanal D,Betül Yağsağan (1-2)Nilüfer Özçelik (3-)Sevgi Yılmaz (3-),3,145,Süreç Film,Ali Gündoğduİnci Gündoğdu,22 Şubat 2022 - günümüz,Eda Teksöz,Türkiye
Yakamoz S-245,Kıvanç TatlıtuğÖzge ÖzpirinçciErtan Saban,7,12,İnternet dizisi,45,Netflix,Jason George Atasay Koç Cansu Çoban Sami Berat Marçalı Murat Uyurkulak,1,52,OGM Pictures,Onur Güvenatam,20 Nisan 2022,Tolga KaraçelikUmut Aral,Türkiye
Yalnız Kurt,Hasan Denizyaran Cihan Ünal Damla Colbay Jessica May Murat Han,32,6,Televizyon dizisi,135,atv,Murat KocaAlper ErzeAybars Bora KahyaoğluAdem BıyıkRecep Çavdar,2,36,Sinegraf,Osman Sınav,28 Ocak 2022 - 30 Aralık 2022,Çağatay Tosun,Türkiye
Zeytin Ağacı,Tuba BüyüküstünSeda BakanBoncuk Yılmaz,8,5,İnternet dizisi,50,Netflix,Nuran Evren Şit,1,267,OGM Pictures,Onur Güvenatam,28 Temmuz 2022,Burcu AlptekinErdem Tepegöz,Türkiye
50m2,Engin ÖztürkKürşat AlnıaçıkCengiz BozkurtAybüke Pusat,8,6,Dijital,30,Netflix,Burak Aksak,1,36,BKM Film,Kerem Çatay,27 Ocak 2021,Selçuk Aydemir,Türkiye
Acans,,10,6,İnternet dizisi,104,Netflix,Ayberk Çınar,1,191,Ay Yapım,DCC Film,11 Mart 2021 - 13 Mayıs 2021,Ali Yorgancıoğlu (1-4)Can Yücel (5-10),Türkiye
Adım Başı Kafe,Zeynep ÇamcıEmrah KamanBurak Serdar ŞanalBurak SatıbolŞenay Gürler,10,12,Dijital,104,Exxen,Selçuk Aydemir,1,191,ÜS Yapım,Süreyya Yaşar Önal,25 Haziran 2021 - 27 Ağustos 2021,Selçuk Aydemir,Türkiye
Akıncı,Şükrü ÖzyıldızBüşra Develi,20,14,Televizyon dizisi,120,atv,Altuğ Küçük (13-20)Hakan Kandal (1-12),1,25,NTC Medya,Mehmet Yiğit Alp,1 Ocak 2021 - 14 Mayıs 2021,Levent Türkan (13-20)Gökhan Erkut (13-20)Veli Çelik (1-12),Türkiye
Alparslan: Büyük Selçuklu,Barış ArduçFahriye EvcenKayra ZabcıMehmet ÖzgürYurdaer OkurSerhat TutumluerBarış BağcıKorel CezayirliSarp LevendoğluGizem KaracaÖzgür ÇevikErdinç GülenerUygar ÖzçelikDevrim Saltoğlu,61,6,Televizyon dizisi,150,TRT 1,Emre Konuk (1-61)İsa Yıldız (5-37),2,293,Akli Film,Emre Konuk,8 Kasım 2021 - 6 Kasım 2023,Sedat İnci,Türkiye
Annemizi Saklarken,KutsiHande DoğandemirYeşim Ceren BozoğluHatice Aslan,8,6,Televizyon dizisi,120,Star TV,Sırma Yanık (1-5)Ali Ercivan (6-8),1,81,OJO Pictures,Ömer Özgüner,8 Aralık 2021 - 2 Şubat 2022,Barış Yöş,Türkiye
Aşkın Tarifi,Kadir DoğuluSerra Arıtürk,13,6,Televizyon dizisi,110,Kanal D,Leyla Oter (1-7)Doruk Erengül (1-7)Makbule Kosif (8-13)Okan Başar Bahar (8-13),1,146,NTC Medya,Mehmet Yiğit Alp,7 Haziran 2021 - 6 Eylül 2021,Deniz Koloş,Türkiye
Aşk Mantık İntikam,Burcu Özberkİlhan Şen Melisa Döngel (1-28)Burak Yörük (1-28),42,6,Televizyon dizisi,120,FOX,Özlem İnci HekimoğluNil Güleç Ünsal,1,259,No Dokuz Productions,Yağmur Ünal,18 Haziran 2021 - 22 Nisan 2022,"Murat Öztürk (1-4, 7-36)Koray Kerimoğlu (5-6, 37-42)",Türkiye
Ayak İşleri,Çağlar ÇorumluGüven Murat Akpınar,30,6,İnternet dizisi,25,Netflix,Caner ÖzyurtluVolkan ÖgeDeniz Alnıtemiz,3,191,AC Film,Müge ÖzenOzan Güler,12 Mayıs 2021 - 5 Mart 2023,Caner Özyurtlu,Türkiye
Aziz,Murat YıldırımDamla SönmezSimay Barlas,28,14,Televizyon dizisi,120,Show TV,Eda Tezcan (1-22) Ali Onur Sütsataner (23-25) Volkan Yazıcı (26-28),1,43,O3 Medya,Saner Ayar,5 Kasım 2021 - 3 Haziran 2022,Recai Karagöz (1-28),Türkiye
Babam Çok Değişti,Çağlar ÇorumluŞebnem BozokluMelek BaykalSalih KalyonTimur Acar,8,6,Televizyon dizisi,130,Kanal D,Erdal Şahin (1-4) Birol Güven (5-8),1,191,Süreç Film,Ali Gündoğduİsmail Gündoğdu,3 Aralık 2020 - 28 Ocak 2021,Hakan Algül,Türkiye
Baht Oyunu,Aytaç ŞaşmazCemre Bayselİdris Nebi TaşkanAslı Sümen,17,6,Televizyon dizisi,104,Kanal D,Fatih Enes Ömeroğlu (1)Erkan Birgören (1-17)Elif Tuna Kıygı (1-17),1,259,ARC Film,Fatih Enes Ömeroğlu,15 Haziran 2021 - 12 Ekim 2021,Serdar Gözelekli,Türkiye
Baş Belası,İrem HelvacıoğluSeçkin Özdemir,13,6,Televizyon dizisi,150,atv,Gülsev KaragözZafer Özer ÇetinelAhmet Orçun OkşarRamazan Demirli,1,53,ARC Film,Fatih Enes Ömeroğlu,20 Haziran 2021 - 10 Eylül 2021,Murat Onbul,Türkiye
Benim Hayatım,Nilsu Berfin AktaşGenco Özak,6,6,Televizyon dizisi,120,Star TV,Ali Buhara MeteSadettin Tolan,1,145,BVB Yapım,Bahadır Özdener,31 Ekim 2021 - 9 Aralık 2021,Onur Tan (Genel)Orkun ÇatakSavaş İlhanÖzlem Dündar,Türkiye
Bir Yeraltı Sit-Com'u,Hasan Can KayaGünay KaracaoğluTuna OrhanEzgi Gör,10,12,Dijital,104,Netflix,Kerem Çatay,1,191,Hap Yapım,Hap Yapım,27 Mart 2021 - 22 Mayıs 2021,Sultan SanNezih Helvacıoğlu,Türkiye
Kıbrıs: Zafere Doğru,Ahmet KuralSerkan ÇayoğluPelin KarahanTayanç AyaydınGülper ÖzdemirDevrim Saltoğlu,24,6,Televizyon dizisi,135,TRT 1,Emre ÖzdürBaşar Başaran,2,291,TMC Film,Erol Avcı,1 Nisan 2021 - 4 Şubat 2022,Hakan İnan (1-9)Osman Taşcı (10-24)Barış Erçetin (10-24),Türkiye
Bonkis,Deniz TezuysalVildan AtaseverBurak SevinçSergen DeveciÖykü Naz Altay,15,6,İnternet dizisi,104,BluTV,Deniz Tezuysal,2,130,Ay Yapım,CPMistanbul,22 Ocak 2021 - 18 Ocak 2022,Emre Erdoğdu Michael Önder,Türkiye
Mendirman Celaleddin Bozkır Arslanı Celaleddin,Emre Kıvılcım Kaan Yalçın Javohir ZokirovGülenay KalkanCemal HünalYulduz RadjabovaRano ŞodiyevaRayhan UlesanovaTohir SaidovSaide RametovaSezgin ErdemirFerhat Yılmaz,7,12,Televizyon dizisi,120,Milliy TV (Özbekistan) (2021)atv (2021),Kerem Çatay,1,285,Bozdağ Film,Mehmet Bozdağ,14 Şubat 2021 (Özbekistan)21 Mayıs 2021 - 2 Temmuz 2021(Türkiye),Metin GünayNurgissa AlmuratReza Himmeti,Özbekistan Türkiye
Börü 2039,Murat ArkınEmir BenderlioğluCansel ElçinDoğan BayraktarTuğçe AçıkgözAhmet PınarDeniz UğurTuğba Sunguroğlu,6,5,İnternet dizisi,60,Netflix,Alper ÇağlarEmre Sirel,1,79,CaglarArtsInsignia,Alper ÇağlarDoruk Acar,28 Aralık 2021 - 10 Mart 2022,Ahmet AtalayCan Emre,Türkiye
Cam Tavanlar,Bensu SoralKubilay Aka,8,6,Televizyon dizisi,150,Show TV,Meriç Acemi,1,163,OJO Pictures,Ömer Özgüner,9 Haziran 2021 - 4 Ağustos 2021,Fehmi Öztürk,Türkiye
Camdaki Kız,Burcu BiricikFeyyaz ŞerifoğluSelma ErgeçEnis ArıkanCihangir Ceyhan,82,6,Televizyon dizisi,120,Kanal D,Seda Altaylı Turgutlu (1-82)Yeşim Aslan (5-47),3,81,OGM Pictures,Onur Güvenatam,8 Nisan 2021 - 15 Haziran 2023,Nadim Güç,Türkiye
Çember,Pelin AkilBarış BağcıAnıl AltanSerhat KılıçOlgun TokerÖzgürcan ÇevikTuvana TürkaySerdar Orçin,19,6,Televizyon film serisi,100,Star TV (2017-2019)(11 bölüm)Kanal D (2021-2022)(8 bölüm),Başak Yazı Odası (1-11)İbrahim Altun (12 Bölüm)Evren Oğuz (12-19),3,246,ANS Productions,Abdullah Oğuz,3 Temmuz 2017 - 16 Mayıs 2022,Fulya Yavuzoğlu (1-11)Mahir Aktaş (1-11)Abdullah Oğuz (12-19),Türkiye
Destan,Ebru ŞahinEdip TepeliSelim Bayraktar,28,6,Televizyon dizisi,135,atv,Nehir Erdem (1-21/28) Ayşe Ferda Eryılmaz (1-21/28) İhsan Yıldırım (22-27) Eda Karakoç (22-27) Mustafa Dinç (22-27) Nermin Aslan (22-27),2,293,Bozdağ Film,Mehmet Bozdağ,23 Kasım 2021 - 15 Eylül 2022,Emir Khalilzadeh (1-6)Fethi Bayram (7-27)Metin Günay (7-27)Ali Aytaç Sakal (28),Türkiye
Doğu,,16,5,İnternet dizisi,25,Netflix,Doğu DemirkolMurat Özsoy,2,191,BKM,Koray KöseFerat Bilgin,31 Mart 2021 - günümüz,Emrah AguşDoğu Demirkolİlay Alpgiray,Türkiye
Dünya Hali,Caner ŞahinPelin Abay,20,6,Televizyon dizisi,50,TRT 1,Osman Nail DoğanMurat Emre KamanEray KamanCem Tunçerİdris Meydi,1,1,Neden Film,Ahmet Tarık Güven,28 Temmuz 2021 - 15 Aralık 2021,Osman Nail DoğanMurad Zaloğlu,Türkiye
Elbet Bir Gün,Sinem ÜnsalŞebnem BozokluBurak Yamantürk,6,6,Televizyon dizisi,120,FOX,Yusuf Reha Alp,1,66,Most Production,Gül Oğuz,7 Kasım 2021 - 12 Aralık 2021,Gül Oğuz,Türkiye
Evlilik Hakkında Her Şey,Gökçe BahadırSarp AkkayaYiğit KirazcıSumru YavrucukGökçe EyüboğluBarış KılıçSerkan AltunorakErdal KüçükkömürcüTülin Ece,33,6,Televizyon dizisi,120,FOX,Toprak Karaoğlu (1-33)Seda Çalışır Karaoğlu (1-33)Ayşe Canan Ertuğ (1-11)Halil Ersan (3-33),1,131,MF Yapım,Asena Bülbüloğlu,21 Eylül 2021 - 31 Mayıs 2022,Yusuf Pirhasan (1-12)Volkan Keskin (5-33),Türkiye
Etkileyici,1. sezon Aslıhan Malbora Bertan Asllani 2. sezon Aslıhan Malbora Mehmet Aykaç,20,6,İnternet dizisi,104,Netflix,Murat KepezZeynep Koçak,2,151,TR 40 33 Productions,Murat CemcirManolya Şen,28 Kasım 2021 - 7 Ocak 2023,Hande Türkel,Türkiye
Fandom,Şahin Irmak Tuğçe Altuğ Eren Vurdem,26,6,İnternet dizisi,25,Netflix,Tayfun Güneyer,2,191,OM Content,Kerem Çatay,4 Kasım 2021 - 22 Eylül 2022,Tayfun Güneyer Bedrana Meriç,Türkiye
Fatma,Burcu BiricikUğur Yücel,6,12,İnternet dizisi,45,Netflix,Özgür ÖnurmeAhmet Vatan,1,257,Ay Yapım,Başak Abacıgil,27 Nisan 2021,Özer FeyzioğluÖzgür Önurme,Türkiye
Gibi,Feyyaz YiğitKıvanç KılınçAhmet Kürşat Öçalan,42,5,İnternet dizisi,40,Netflix,Aziz KediFeyyaz Yiğit,4,167,Özcanlar Yapım Sarayı,Barış AyaztaşFeyyaz Yiğit,1 Ocak 2021 - günümüz,Ömer Sinir (1-2. sezon)Onur Uzun (3. sezon)Barış Yöş (4. sezon),Türkiye
Hamlet,Erdal BeşikçioğluElit İşcanŞebnem Bozoklu,7,12,İnternet dizisi,40,Netflix,Kaan Müjdeci,1,81,Ay Yapım,Kanat DoğramacıTolga Afşin Kaya,19 Ekim 2021,Kaan Müjdeci,Türkiye
Hiç,,8,14,İnternet dizisi,20,Netflix,Onur Dur,1,81,Ay Yapım,Kerem Çatay,19 Şubat 2021 - 9 Nisan 2021,Hamdi Can Teker,Türkiye
Hükümsüz,Burçin TerzioğluHande Doğandemirİsmail HacıoğluAlican Yücesoy,10,12,Dijital,30,Netflix,Mert DikmenFulya Özcan,1,137,Dijital Sanatlar Yapımevi,Mustafa Uslu,1 Ocak 2021 - 5 Mart 2021,Ömer Faruk Sorak,Türkiye
İçimizden Biri,Bora AkkaşÖzge YağızMustafa AvkıranDerya AlaboraBenian DönmezRenan Bilek,6,6,Televizyon dizisi,130,Show TV,Gülbike Sonay Üte (1-6)Yelda Arıtaş Erdem (1-6)Müge Şeviker (1-6)Damla Güçer (1-2)Feza Doğru (3-6),1,73,Süreç Film,İnci Gündoğduİsmail Gündoğdu,12 Eylül 2021 - 19 Ekim 2021,Ersoy Güler,Türkiye
İlginç Bazı Olaylar,İbrahim BüyükakÖzgür Emre YıldırımMelis BabadağMeral ÇetinkayaÖzgür Turhan,20,12,İnternet dizisi,30,Netflix,İbrahim Büyükak,2,191,Nulook Production,Muzaffer Yıldırım,16 Nisan 2021 - 6 Mayıs 2022,İbrahim Büyükak,Türkiye
İlk ve Son,Özge ÖzpirinçciSalih Bademci,8,5,İnternet dizisi,104,Netflix,Hakan Bonomo,1,145,Ay Yapım,Kerem Çatay,18 Ağustos 2021 - 29 Eylül 2021,Cem Karcı,Türkiye
İşte Bu Benim Masalım,Aleyna TilkiCemal Can Canseven,8,6,Dijital,30,Exxen,Deniz GürlekMelek Seven,1,230,Ay Yapım,Kerem Çatay,1 Ocak 2021 - 9 Nisan 2021,Kıvanç Baruönü,Türkiye
Kaderimin Oyunu,Öykü KarayelAkın AkınözüSarp ApakMeriç Aral,26,6,Televizyon dizisi,120,Star TV,Gül Abus SemerciMelis Veziroğlu YılmazPınar OrduSelin YaltaalMeryem DemirliBurcu ÖverGülbike Sonay Üte,1,81,NGM,Nazlı Heptürk,3 Aralık 2021 - 17 Haziran 2022,Emre Kabakuşak,Türkiye
Kağıt Ev,Erdal BeşikçioğluNur Fettahoğlu,8,6,Televizyon dizisi,150,Star TV,Kerem Çatay,1,81,O3 Medya,Saner Ayar,19 Nisan 2021 - 7 Haziran 2021,Şenol Sönmez,Türkiye
Kanunsuz Topraklar,Uğur GüneşEsra BilgiçNecip Memili,16,6,Televizyon dizisi,150,FOX,Zülküf Yücel (1-6) Zehra Gülenay Yücel (1-6) Can Sinan (7-16),1,156,Gold Film,Faruk Turgut,29 Eylül 2021 - 9 Şubat 2022,Faruk Teber (1-6)Yasin Uslu (3-6)Cevdet Mercan (7-16),Türkiye
Kardeşlerim,Celil NalçakanCüneyt MeteAhu YağtuSimge SelçukYiğit KoçakSu Burcu Yazgı CoşkunEski başrolHalit Özgür SarıOnur Seyit YaranFadik Sevin Atasoy,111,1,Televizyon dizisi,135,atv,Gül Abus SemerciMelis Veziroğlu Yılmaz Mert Meriçli Zafer Özer Çetinel,4,124,NGM,Nazlı HeptürkUğur TürkmenGökhan Erkal,20 Şubat 2021 - günümüz,Serkan Birinci,Türkiye
Kazara Aşk,Ümit KantarcılarSude Zülal Güler,13,6,Televizyon dizisi,135,Star TV,Bekir Baran SıtkıRana Mamatlıoğlu,1,259,Koliba Film,Ata Türkoğlu,24 Haziran 2021 - 30 Eylül 2021,Sadullah Celen,Türkiye
Kahraman Babam,Görkem SevindikNilay DenizEbrar Alya Demirbilek,8,6,Televizyon dizisi,120,Show TV,Sevgi YılmazDevrim Yıldız ÖzdemirBahar Kaya,1,36,Ay Yapım,Kerem ÇatayPelin Diştaş,14 Haziran 2021 - 26 Temmuz 2021,Osman Kaya,Türkiye
Kırık Hayatlar,Meltem AkçölErdem Yılmaz,100,6,Televizyon dizisi,104,Kanal D (23 Ağustos 2021-22 Ekim 2021)teve2 (25 Ekim 2021-12 Ocak 2022),Yaşar AksuNilüfer Yenidoğan Özmekik,1,157,Nöbetçi Yapım Inter Medya,Berna AkpınarMetin Namlısesli,23 Ağustos 2021 - 12 Ocak 2022,İlknur Uğuz ArslanBekir Dadaş,Türkiye
Kulüp,Gökçe BahadırBarış ArduçAsude KalebekSalih BademciFırat TanışMetin Akdülger,20,12,Dijital,50,Netflix,Rana Denizer Necati Şahin Ayşin Akbulut Serkan Yörük[1],2,81,O3 Medya,Cengiz Çağatay,5 Kasım 2021 - günümüz,Seren YüceZeynep Günay,Türkiye
Mahkum,Onur Tunaİsmail HacıoğluSeray KayaMelike İpek YalovaGökçe Eyüboğlu,31,6,Televizyon dizisi,130,FOX,Uğraş Güneş,2,36,MF Yapım,Asena Bülbüloğlu,14 Aralık 2021 - 29 Ekim 2022,Volkan Kocatürk(1-24)Özgür Sevimli(25-31),Türkiye
Mahrem,Birhan Tut,10,6,Televizyon programı,104,TRT 1,"Gürkan Tanyaş,Halis Cahit Kurutlu",1,77,Ay Yapım,Kerem Çatay,14 Temmuz 20219 Ağustos 2021,Hamit Coşkun,Türkiye
Maraşlı,Burak DenizAlina Boz,26,6,Televizyon dizisi,120,atv,Ethem Özışık (1-26)Ercan Uğur (1-26) Hakan Bonomo (1-5) Pelin Gülcan (6-26),1,36,Tims&B Productions,Timur SavcıBurak Sağyaşar,11 Ocak 2021 - 13 Temmuz 2021,Arda Sarıgün (1-26),Türkiye
Masumiyet,Hülya AvşarMehmet AslantuğDeniz Çakırİlayda AlişanSerkay TütüncüDeniz Işın,13,6,Televizyon dizisi,120,FOX,Sırma Yanık,1,143,Gold Film,Faruk Turgut,24 Şubat 2021 - 24 Mayıs 2021,Ömür Atay,Türkiye
Mavera,Korel CezayirliGörkem SevindikTansel ÖngelSinan TuzcuHasan KüçükçetinRecep UstaZaraFerit KayaMehmet Korhan FıratHakan Adrian CanEvren ErlerNusret Çetinel,26,6,Televizyon dizisi,90,TRT 1,İbrahim Ethem ArslanMustafa Burak Doğu,1,289,Es Film,Yusuf EsenkalSerdar Öğretici,12 Nisan 2021 - 7 Mayıs 2021,Doğan Ümit Karaca,Türkiye
Misafir,Hazal KayaBuğra GülsoyOzan Dolunay,5,6,Televizyon dizisi,130,FOX,Özge Aras,1,104,Medyapım,Fatih Aksoy,11 Kasım 2021 - 9 Aralık 2021,Arda Sarıgün,Türkiye
Olağan Şüpheliler,Bennu YıldırımlarCeren MorayYasemin Allen,10,6,İnternet dizisi,30,Netflix,Kerem Çatay,1,212,1441 Productions,İrfan Şahin,25 Haziran 2021 - 27 Ağustos 2021,Yüksel Aksu,Türkiye
Saklı,Hazar ErgüçlüFırat ÇelikAhmet Rıfat ŞungarDefne Kayalar,10,12,İnternet dizisi,104,Netflix,Deniz Akçay Katıksız,1,145,MAY Productions,Kerem Çatay,23 Kasım 2021,Deniz Akçay Katıksız,Türkiye
Sana Söz,Erkan PetekkayaNehir ErdoğanSerkan AltunorakAyçin İnciEmin Olcay,7,6,Televizyon dizisi,120,Star TV,Ali Erkan ErsezerSertaç Sayın,1,137,O3 Medya,Saner Ayar,2 Kasım 2021 - 14 Aralık 2021,Şenol Sönmez,Türkiye
Seni Çok Bekledim,Özcan Denizİrem Helvacıoğlu,13,6,Televizyon dizisi,120,Star TV,Özcan Deniz,1,81,Skala Yapım DNZ Film,Özcan Deniz,29 Ocak 2021 - 28 Nisan 2021,Şahin Altuğ (1-6)Yasemin Türkmeli (7-13),Türkiye
Seyyar,Ozan AğaçÖzge ÖzacarErdem Kaynarca,10,6,İnternet dizisi,60,Netflix,Kerem Çatay,1,47,Limon Film,Kerem Çatay,11 Haziran 2021 - 11 Ağustos 2021,Cem ÖzüduruTaner Elhan,Türkiye
Sihirli Annem,Açelya TopaloğluEmre AltuğLale BaşarNergis KumbasarHande KatipoğluBülent SeyranOgeday Girişken,30,6,Dijital,30,Netflix,Gamze Özer,2,175,Süreç Film,İnci Gündoğduİsmail Gündoğdu,1 Ocak 2021 - 29 Nisan 2022,Başak Soysal (1-8)Tülay Kocatürk (9-30),Türkiye
Son Yaz,Alperen DuymazAli AtayHafsanur SancaktutanFunda EryiğitBirce Akalay,26,6,Televizyon dizisi,120,FOX,Deniz DargıCenk BoğaturCem Görgeç,2,137,O3 Medya,Saner Ayar,1 Ocak 2021 - 16 Ekim 2021,Burak Arlıel (1-16)Semih Bağcı (7-26),Türkiye
Şeref Bey,Haluk BilginerSongül ÖdenErtan SabanDevrim YakutSerhat Kılıç,10,6,Dijital,30,Netflix,Yusuf Reha Alp Özlem Çadırcı,1,191,Most Production,Kerem Çatay,1 Ocak 2021 - 5 Mart 2021,Onur Ünlü,Türkiye
